"Project";"Task";"Note";"Start date & time";"End date & time";"Start date";"Start time";"End date";"End time";"Duration";"Duration in hours";"Tags";
"Развлечения";"Игры";"";"22 янв. 2021 г. 19:19:18";"22 янв. 2021 г. 19:33:03";"22 янв. 2021 г.";"19:19:18";"22 янв. 2021 г.";"19:33:03";"0:13";"0,23";"";
"Прочее";"Сборы";"";"22 янв. 2021 г. 19:33:03";"22 янв. 2021 г. 19:34:24";"22 янв. 2021 г.";"19:33:03";"22 янв. 2021 г.";"19:34:24";"0:01";"0,02";"";
"Здоровье";"Гигиена";"";"22 янв. 2021 г. 19:34:24";"22 янв. 2021 г. 19:35:27";"22 янв. 2021 г.";"19:34:24";"22 янв. 2021 г.";"19:35:27";"0:01";"0,02";"";
"Развлечения";"ТВ";"";"22 янв. 2021 г. 19:35:28";"22 янв. 2021 г. 19:37:15";"22 янв. 2021 г.";"19:35:28";"22 янв. 2021 г.";"19:37:15";"0:01";"0,03";"";
"Общение";"Животные";"";"22 янв. 2021 г. 19:37:15";"22 янв. 2021 г. 19:59:17";"22 янв. 2021 г.";"19:37:15";"22 янв. 2021 г.";"19:59:17";"0:22";"0,37";"";
"Уход за семьей";"Организация";"";"22 янв. 2021 г. 19:59:17";"22 янв. 2021 г. 20:12:25";"22 янв. 2021 г.";"19:59:17";"22 янв. 2021 г.";"20:12:25";"0:13";"0,22";"";
"Развлечения";"Интернет";"";"22 янв. 2021 г. 20:12:25";"22 янв. 2021 г. 20:22:29";"22 янв. 2021 г.";"20:12:25";"22 янв. 2021 г.";"20:22:29";"0:10";"0,17";"";
"Развлечения";"Игры";"";"22 янв. 2021 г. 20:22:29";"22 янв. 2021 г. 21:06:38";"22 янв. 2021 г.";"20:22:29";"22 янв. 2021 г.";"21:06:38";"0:44";"0,74";"";
"Уход за семьей";"Готовка";"";"22 янв. 2021 г. 21:06:38";"22 янв. 2021 г. 21:09:05";"22 янв. 2021 г.";"21:06:38";"22 янв. 2021 г.";"21:09:05";"0:02";"0,04";"";
"Здоровье";"Еда";"";"22 янв. 2021 г. 21:09:05";"22 янв. 2021 г. 21:16:49";"22 янв. 2021 г.";"21:09:05";"22 янв. 2021 г.";"21:16:49";"0:07";"0,13";"";
"Развлечения";"Игры";"";"22 янв. 2021 г. 21:16:49";"22 янв. 2021 г. 23:31:12";"22 янв. 2021 г.";"21:16:49";"22 янв. 2021 г.";"23:31:12";"2:14";"2,24";"";
"Развлечения";"Интернет";"";"22 янв. 2021 г. 23:31:12";"23 янв. 2021 г. 00:01:41";"22 янв. 2021 г.";"23:31:12";"23 янв. 2021 г.";"00:01:41";"0:30";"0,51";"";
"Прочее";"Сборы";"";"23 янв. 2021 г. 00:01:41";"23 янв. 2021 г. 00:09:45";"23 янв. 2021 г.";"00:01:41";"23 янв. 2021 г.";"00:09:45";"0:08";"0,13";"";
"Развлечения";"Интернет";"";"23 янв. 2021 г. 00:09:45";"23 янв. 2021 г. 00:20:55";"23 янв. 2021 г.";"00:09:45";"23 янв. 2021 г.";"00:20:55";"0:11";"0,19";"";
"Сон";"";"";"23 янв. 2021 г. 00:20:55";"23 янв. 2021 г. 08:00:46";"23 янв. 2021 г.";"00:20:55";"23 янв. 2021 г.";"08:00:46";"7:39";"7,66";"";
"Уход за семьей";"Кошка";"";"23 янв. 2021 г. 08:00:46";"23 янв. 2021 г. 08:04:21";"23 янв. 2021 г.";"08:00:46";"23 янв. 2021 г.";"08:04:21";"0:03";"0,06";"";
"Развлечения";"Интернет";"";"23 янв. 2021 г. 08:04:21";"23 янв. 2021 г. 08:48:44";"23 янв. 2021 г.";"08:04:21";"23 янв. 2021 г.";"08:48:44";"0:44";"0,74";"";
"Уход за семьей";"Организация";"";"23 янв. 2021 г. 08:48:44";"23 янв. 2021 г. 08:54:15";"23 янв. 2021 г.";"08:48:44";"23 янв. 2021 г.";"08:54:15";"0:05";"0,09";"";
"Развлечения";"Интернет";"";"23 янв. 2021 г. 08:54:15";"23 янв. 2021 г. 09:46:42";"23 янв. 2021 г.";"08:54:15";"23 янв. 2021 г.";"09:46:42";"0:52";"0,87";"";
"Прочее";"Сборы";"";"23 янв. 2021 г. 09:46:42";"23 янв. 2021 г. 09:55:17";"23 янв. 2021 г.";"09:46:42";"23 янв. 2021 г.";"09:55:17";"0:08";"0,14";"";
"Уход за семьей";"Готовка";"";"23 янв. 2021 г. 09:55:17";"23 янв. 2021 г. 10:04:26";"23 янв. 2021 г.";"09:55:17";"23 янв. 2021 г.";"10:04:26";"0:09";"0,15";"";
"Здоровье";"Еда";"";"23 янв. 2021 г. 10:04:26";"23 янв. 2021 г. 10:18:04";"23 янв. 2021 г.";"10:04:26";"23 янв. 2021 г.";"10:18:04";"0:13";"0,23";"";
"Общение";"Семья";"";"23 янв. 2021 г. 10:18:04";"23 янв. 2021 г. 10:21:08";"23 янв. 2021 г.";"10:18:04";"23 янв. 2021 г.";"10:21:08";"0:03";"0,05";"";
"Здоровье";"Гигиена";"";"23 янв. 2021 г. 10:21:08";"23 янв. 2021 г. 10:22:39";"23 янв. 2021 г.";"10:21:08";"23 янв. 2021 г.";"10:22:39";"0:01";"0,03";"";
"Общение";"Семья";"";"23 янв. 2021 г. 10:22:39";"23 янв. 2021 г. 10:53:57";"23 янв. 2021 г.";"10:22:39";"23 янв. 2021 г.";"10:53:57";"0:31";"0,52";"Мама";
"Развлечения";"Интернет";"";"23 янв. 2021 г. 10:53:57";"23 янв. 2021 г. 11:32:19";"23 янв. 2021 г.";"10:53:57";"23 янв. 2021 г.";"11:32:19";"0:38";"0,64";"";
"Развлечения";"ТВ";"";"23 янв. 2021 г. 11:32:19";"23 янв. 2021 г. 11:38:08";"23 янв. 2021 г.";"11:32:19";"23 янв. 2021 г.";"11:38:08";"0:05";"0,1";"";
"Прочее";"Сборы";"";"23 янв. 2021 г. 11:38:08";"23 янв. 2021 г. 11:54:26";"23 янв. 2021 г.";"11:38:08";"23 янв. 2021 г.";"11:54:26";"0:16";"0,27";"";
"Прочее";"Транспорт";"";"23 янв. 2021 г. 11:54:26";"23 янв. 2021 г. 12:43:05";"23 янв. 2021 г.";"11:54:26";"23 янв. 2021 г.";"12:43:05";"0:48";"0,81";"";
"Уход за семьей";"Кошка";"";"23 янв. 2021 г. 12:43:05";"23 янв. 2021 г. 13:01:38";"23 янв. 2021 г.";"12:43:05";"23 янв. 2021 г.";"13:01:38";"0:18";"0,31";"";
"Уход за семьей";"Организация";"";"23 янв. 2021 г. 13:01:38";"23 янв. 2021 г. 13:13:30";"23 янв. 2021 г.";"13:01:38";"23 янв. 2021 г.";"13:13:30";"0:11";"0,2";"";
"Прочее";"Транспорт";"";"23 янв. 2021 г. 13:13:30";"23 янв. 2021 г. 13:57:29";"23 янв. 2021 г.";"13:13:30";"23 янв. 2021 г.";"13:57:29";"0:43";"0,73";"";
"Прочее";"Сборы";"";"23 янв. 2021 г. 13:57:29";"23 янв. 2021 г. 14:04:52";"23 янв. 2021 г.";"13:57:29";"23 янв. 2021 г.";"14:04:52";"0:07";"0,12";"";
"Здоровье";"Еда";"";"23 янв. 2021 г. 14:04:52";"23 янв. 2021 г. 14:18:27";"23 янв. 2021 г.";"14:04:52";"23 янв. 2021 г.";"14:18:27";"0:13";"0,23";"";
"Развлечения";"Интернет";"";"23 янв. 2021 г. 14:18:27";"23 янв. 2021 г. 14:46:04";"23 янв. 2021 г.";"14:18:27";"23 янв. 2021 г.";"14:46:04";"0:27";"0,46";"";
"Общение";"Семья";"";"23 янв. 2021 г. 14:46:04";"23 янв. 2021 г. 14:49:11";"23 янв. 2021 г.";"14:46:04";"23 янв. 2021 г.";"14:49:11";"0:03";"0,05";"";
"Развлечения";"Интернет";"";"23 янв. 2021 г. 14:49:11";"23 янв. 2021 г. 14:52:13";"23 янв. 2021 г.";"14:49:11";"23 янв. 2021 г.";"14:52:13";"0:03";"0,05";"";
"Общение";"Животные";"";"23 янв. 2021 г. 14:52:13";"23 янв. 2021 г. 14:55:16";"23 янв. 2021 г.";"14:52:13";"23 янв. 2021 г.";"14:55:16";"0:03";"0,05";"";
"Развлечения";"Интернет";"";"23 янв. 2021 г. 14:55:16";"23 янв. 2021 г. 15:09:38";"23 янв. 2021 г.";"14:55:16";"23 янв. 2021 г.";"15:09:38";"0:14";"0,24";"";
"Развлечения";"ТВ";"";"23 янв. 2021 г. 15:09:38";"23 янв. 2021 г. 15:11:14";"23 янв. 2021 г.";"15:09:38";"23 янв. 2021 г.";"15:11:14";"0:01";"0,03";"";
"Развлечения";"Интернет";"";"23 янв. 2021 г. 15:11:14";"23 янв. 2021 г. 15:18:53";"23 янв. 2021 г.";"15:11:14";"23 янв. 2021 г.";"15:18:53";"0:07";"0,13";"";
"Общение";"Парень";"";"23 янв. 2021 г. 15:18:53";"23 янв. 2021 г. 15:28:15";"23 янв. 2021 г.";"15:18:53";"23 янв. 2021 г.";"15:28:15";"0:09";"0,16";"";
"Учёба";"Data science";"";"23 янв. 2021 г. 15:28:15";"23 янв. 2021 г. 15:35:17";"23 янв. 2021 г.";"15:28:15";"23 янв. 2021 г.";"15:35:17";"0:07";"0,12";"Видео";
"Общение";"Парень";"";"23 янв. 2021 г. 15:35:17";"23 янв. 2021 г. 15:40:20";"23 янв. 2021 г.";"15:35:17";"23 янв. 2021 г.";"15:40:20";"0:05";"0,08";"";
"Учёба";"Data science";"";"23 янв. 2021 г. 15:40:20";"23 янв. 2021 г. 15:44:34";"23 янв. 2021 г.";"15:40:20";"23 янв. 2021 г.";"15:44:34";"0:04";"0,07";"Видео";
"Развлечения";"ТВ";"";"23 янв. 2021 г. 15:44:34";"23 янв. 2021 г. 15:55:28";"23 янв. 2021 г.";"15:44:34";"23 янв. 2021 г.";"15:55:28";"0:10";"0,18";"";
"Общение";"Семья";"";"23 янв. 2021 г. 15:55:28";"23 янв. 2021 г. 16:05:36";"23 янв. 2021 г.";"15:55:28";"23 янв. 2021 г.";"16:05:36";"0:10";"0,17";"";
"Развлечения";"Интернет";"";"23 янв. 2021 г. 16:05:36";"23 янв. 2021 г. 16:10:37";"23 янв. 2021 г.";"16:05:36";"23 янв. 2021 г.";"16:10:37";"0:05";"0,08";"";
"Уход за семьей";"Организация";"";"23 янв. 2021 г. 16:10:37";"23 янв. 2021 г. 16:17:39";"23 янв. 2021 г.";"16:10:37";"23 янв. 2021 г.";"16:17:39";"0:07";"0,12";"";
"Развлечения";"Интернет";"";"23 янв. 2021 г. 16:17:39";"23 янв. 2021 г. 17:09:03";"23 янв. 2021 г.";"16:17:39";"23 янв. 2021 г.";"17:09:03";"0:51";"0,86";"";
"Уход за семьей";"Кошка";"";"23 янв. 2021 г. 17:09:03";"23 янв. 2021 г. 17:12:04";"23 янв. 2021 г.";"17:09:03";"23 янв. 2021 г.";"17:12:04";"0:03";"0,05";"";
"Развлечения";"Интернет";"";"23 янв. 2021 г. 17:12:04";"23 янв. 2021 г. 17:43:51";"23 янв. 2021 г.";"17:12:04";"23 янв. 2021 г.";"17:43:51";"0:31";"0,53";"";
"Развлечения";"ТВ";"";"23 янв. 2021 г. 17:43:51";"23 янв. 2021 г. 18:17:21";"23 янв. 2021 г.";"17:43:51";"23 янв. 2021 г.";"18:17:21";"0:33";"0,56";"";
"Здоровье";"Еда";"";"23 янв. 2021 г. 18:17:21";"23 янв. 2021 г. 18:27:24";"23 янв. 2021 г.";"18:17:21";"23 янв. 2021 г.";"18:27:24";"0:10";"0,17";"";
"Уход за семьей";"Уборка / стирка";"";"23 янв. 2021 г. 18:27:24";"23 янв. 2021 г. 18:29:33";"23 янв. 2021 г.";"18:27:24";"23 янв. 2021 г.";"18:29:33";"0:02";"0,04";"";
"Развлечения";"Интернет";"";"23 янв. 2021 г. 18:29:33";"23 янв. 2021 г. 19:05:14";"23 янв. 2021 г.";"18:29:33";"23 янв. 2021 г.";"19:05:14";"0:35";"0,59";"";
"Развитие";"Развивающее чтение/видео";"";"23 янв. 2021 г. 19:05:14";"23 янв. 2021 г. 19:13:06";"23 янв. 2021 г.";"19:05:14";"23 янв. 2021 г.";"19:13:06";"0:07";"0,13";"";
"Развлечения";"Игры";"";"23 янв. 2021 г. 19:13:06";"23 янв. 2021 г. 19:16:01";"23 янв. 2021 г.";"19:13:06";"23 янв. 2021 г.";"19:16:01";"0:02";"0,05";"";
"Общение";"Животные";"";"23 янв. 2021 г. 19:16:01";"23 янв. 2021 г. 19:27:45";"23 янв. 2021 г.";"19:16:01";"23 янв. 2021 г.";"19:27:45";"0:11";"0,2";"";
"Развлечения";"Интернет";"";"23 янв. 2021 г. 19:27:45";"23 янв. 2021 г. 19:29:18";"23 янв. 2021 г.";"19:27:45";"23 янв. 2021 г.";"19:29:18";"0:01";"0,03";"";
"Общение";"Животные";"";"23 янв. 2021 г. 19:29:18";"23 янв. 2021 г. 19:38:25";"23 янв. 2021 г.";"19:29:18";"23 янв. 2021 г.";"19:38:25";"0:09";"0,15";"";
"Развлечения";"Игры";"";"23 янв. 2021 г. 19:38:25";"23 янв. 2021 г. 21:30:54";"23 янв. 2021 г.";"19:38:25";"23 янв. 2021 г.";"21:30:54";"1:52";"1,87";"";
"Здоровье";"Еда";"";"23 янв. 2021 г. 21:30:54";"23 янв. 2021 г. 21:40:36";"23 янв. 2021 г.";"21:30:54";"23 янв. 2021 г.";"21:40:36";"0:09";"0,16";"";
"Здоровье";"Гигиена";"";"23 янв. 2021 г. 21:40:36";"23 янв. 2021 г. 21:41:45";"23 янв. 2021 г.";"21:40:36";"23 янв. 2021 г.";"21:41:45";"0:01";"0,02";"";
"Развлечения";"Игры";"";"23 янв. 2021 г. 21:41:45";"23 янв. 2021 г. 21:54:40";"23 янв. 2021 г.";"21:41:45";"23 янв. 2021 г.";"21:54:40";"0:12";"0,22";"";
"Общение";"Животные";"";"23 янв. 2021 г. 21:54:40";"23 янв. 2021 г. 22:05:25";"23 янв. 2021 г.";"21:54:40";"23 янв. 2021 г.";"22:05:25";"0:10";"0,18";"";
"Общение";"Парень";"";"23 янв. 2021 г. 22:05:25";"23 янв. 2021 г. 22:18:45";"23 янв. 2021 г.";"22:05:25";"23 янв. 2021 г.";"22:18:45";"0:13";"0,22";"";
"Развлечения";"Игры";"";"23 янв. 2021 г. 22:18:45";"23 янв. 2021 г. 23:20:33";"23 янв. 2021 г.";"22:18:45";"23 янв. 2021 г.";"23:20:33";"1:01";"1,03";"";
"Общение";"Животные";"";"23 янв. 2021 г. 23:20:33";"23 янв. 2021 г. 23:31:03";"23 янв. 2021 г.";"23:20:33";"23 янв. 2021 г.";"23:31:03";"0:10";"0,17";"";
"Прочее";"Сборы";"";"23 янв. 2021 г. 23:31:03";"23 янв. 2021 г. 23:33:39";"23 янв. 2021 г.";"23:31:03";"23 янв. 2021 г.";"23:33:39";"0:02";"0,04";"";
"Развлечения";"Интернет";"";"23 янв. 2021 г. 23:33:39";"24 янв. 2021 г. 00:06:18";"23 янв. 2021 г.";"23:33:39";"24 янв. 2021 г.";"00:06:18";"0:32";"0,54";"";
"Прочее";"Сборы";"";"24 янв. 2021 г. 00:06:18";"24 янв. 2021 г. 00:08:08";"24 янв. 2021 г.";"00:06:18";"24 янв. 2021 г.";"00:08:08";"0:01";"0,03";"";
"Сон";"";"";"24 янв. 2021 г. 00:08:08";"24 янв. 2021 г. 07:51:28";"24 янв. 2021 г.";"00:08:08";"24 янв. 2021 г.";"07:51:28";"7:43";"7,72";"";
"Уход за семьей";"Кошка";"";"24 янв. 2021 г. 07:51:28";"24 янв. 2021 г. 07:56:32";"24 янв. 2021 г.";"07:51:28";"24 янв. 2021 г.";"07:56:32";"0:05";"0,08";"";
"Развлечения";"Худ. литература";"";"24 янв. 2021 г. 07:56:32";"24 янв. 2021 г. 08:43:35";"24 янв. 2021 г.";"07:56:32";"24 янв. 2021 г.";"08:43:35";"0:47";"0,78";"";
"Развитие";"Развивающее чтение/видео";"";"24 янв. 2021 г. 08:43:35";"24 янв. 2021 г. 08:58:28";"24 янв. 2021 г.";"08:43:35";"24 янв. 2021 г.";"08:58:28";"0:14";"0,25";"";
"Развлечения";"Интернет";"";"24 янв. 2021 г. 08:58:28";"24 янв. 2021 г. 09:08:10";"24 янв. 2021 г.";"08:58:28";"24 янв. 2021 г.";"09:08:10";"0:09";"0,16";"";
"Развитие";"Расслабление";"";"24 янв. 2021 г. 09:08:10";"24 янв. 2021 г. 09:18:42";"24 янв. 2021 г.";"09:08:10";"24 янв. 2021 г.";"09:18:42";"0:10";"0,18";"";
"Прочее";"Сборы";"";"24 янв. 2021 г. 09:18:42";"24 янв. 2021 г. 09:25:51";"24 янв. 2021 г.";"09:18:42";"24 янв. 2021 г.";"09:25:51";"0:07";"0,12";"";
"Здоровье";"Гигиена";"";"24 янв. 2021 г. 09:25:51";"24 янв. 2021 г. 09:47:01";"24 янв. 2021 г.";"09:25:51";"24 янв. 2021 г.";"09:47:01";"0:21";"0,35";"Бритье|Душ|Уход за кожей и/или волосами";
"Уход за семьей";"Уборка / стирка";"";"24 янв. 2021 г. 09:47:01";"24 янв. 2021 г. 09:50:32";"24 янв. 2021 г.";"09:47:01";"24 янв. 2021 г.";"09:50:32";"0:03";"0,06";"";
"Здоровье";"Физическая активность";"";"24 янв. 2021 г. 09:50:33";"24 янв. 2021 г. 09:55:51";"24 янв. 2021 г.";"09:50:33";"24 янв. 2021 г.";"09:55:51";"0:05";"0,09";"Уход за кожей и/или волосами";
"Развитие";"Дневник";"";"24 янв. 2021 г. 09:55:51";"24 янв. 2021 г. 10:10:40";"24 янв. 2021 г.";"09:55:51";"24 янв. 2021 г.";"10:10:40";"0:14";"0,25";"Дневник";
"Развлечения";"Интернет";"";"24 янв. 2021 г. 10:10:40";"24 янв. 2021 г. 10:30:25";"24 янв. 2021 г.";"10:10:40";"24 янв. 2021 г.";"10:30:25";"0:19";"0,33";"";
"Уход за семьей";"Готовка";"";"24 янв. 2021 г. 10:30:25";"24 янв. 2021 г. 10:44:33";"24 янв. 2021 г.";"10:30:25";"24 янв. 2021 г.";"10:44:33";"0:14";"0,24";"";
"Здоровье";"Еда";"";"24 янв. 2021 г. 10:44:33";"24 янв. 2021 г. 10:58:41";"24 янв. 2021 г.";"10:44:33";"24 янв. 2021 г.";"10:58:41";"0:14";"0,24";"";
"Уход за семьей";"Уборка / стирка";"";"24 янв. 2021 г. 10:58:41";"24 янв. 2021 г. 11:00:34";"24 янв. 2021 г.";"10:58:41";"24 янв. 2021 г.";"11:00:34";"0:01";"0,03";"";
"Развлечения";"Интернет";"";"24 янв. 2021 г. 11:00:34";"24 янв. 2021 г. 11:21:57";"24 янв. 2021 г.";"11:00:34";"24 янв. 2021 г.";"11:21:57";"0:21";"0,36";"";
"Общение";"Семья";"";"24 янв. 2021 г. 11:21:57";"24 янв. 2021 г. 11:28:40";"24 янв. 2021 г.";"11:21:57";"24 янв. 2021 г.";"11:28:40";"0:06";"0,11";"Мама";
"Развлечения";"Интернет";"";"24 янв. 2021 г. 11:28:40";"24 янв. 2021 г. 11:36:27";"24 янв. 2021 г.";"11:28:40";"24 янв. 2021 г.";"11:36:27";"0:07";"0,13";"";
"Общение";"Семья";"";"24 янв. 2021 г. 11:36:27";"24 янв. 2021 г. 11:53:17";"24 янв. 2021 г.";"11:36:27";"24 янв. 2021 г.";"11:53:17";"0:16";"0,28";"Мама";
"Здоровье";"Гигиена";"";"24 янв. 2021 г. 11:53:17";"24 янв. 2021 г. 12:08:21";"24 янв. 2021 г.";"11:53:17";"24 янв. 2021 г.";"12:08:21";"0:15";"0,25";"Уход за кожей и/или волосами|Чистка зубов";
"Общение";"Семья";"";"24 янв. 2021 г. 12:08:21";"24 янв. 2021 г. 12:36:21";"24 янв. 2021 г.";"12:08:21";"24 янв. 2021 г.";"12:36:21";"0:28";"0,47";"Мама";
"Прочее";"Сборы";"";"24 янв. 2021 г. 12:36:21";"24 янв. 2021 г. 12:39:26";"24 янв. 2021 г.";"12:36:21";"24 янв. 2021 г.";"12:39:26";"0:03";"0,05";"";
"Общение";"Свидание";"";"24 янв. 2021 г. 12:39:26";"24 янв. 2021 г. 17:14:37";"24 янв. 2021 г.";"12:39:26";"24 янв. 2021 г.";"17:14:37";"4:35";"4,59";"";
"Прочее";"Сборы";"";"24 янв. 2021 г. 17:14:37";"24 янв. 2021 г. 17:17:38";"24 янв. 2021 г.";"17:14:37";"24 янв. 2021 г.";"17:17:38";"0:03";"0,05";"";
"Здоровье";"Гигиена";"";"24 янв. 2021 г. 17:17:38";"24 янв. 2021 г. 17:19:39";"24 янв. 2021 г.";"17:17:38";"24 янв. 2021 г.";"17:19:39";"0:02";"0,03";"";
"Прочее";"Сборы";"";"24 янв. 2021 г. 17:19:39";"24 янв. 2021 г. 17:22:44";"24 янв. 2021 г.";"17:19:39";"24 янв. 2021 г.";"17:22:44";"0:03";"0,05";"";
"Общение";"Животные";"";"24 янв. 2021 г. 17:22:44";"24 янв. 2021 г. 17:26:31";"24 янв. 2021 г.";"17:22:44";"24 янв. 2021 г.";"17:26:31";"0:03";"0,06";"";
"Развлечения";"ТВ";"";"24 янв. 2021 г. 17:26:31";"24 янв. 2021 г. 17:38:01";"24 янв. 2021 г.";"17:26:31";"24 янв. 2021 г.";"17:38:01";"0:11";"0,19";"";
"Развлечения";"Фильм";"";"24 янв. 2021 г. 17:38:01";"24 янв. 2021 г. 17:56:57";"24 янв. 2021 г.";"17:38:01";"24 янв. 2021 г.";"17:56:57";"0:18";"0,32";"";
"Уход за семьей";"Организация";"";"24 янв. 2021 г. 17:56:57";"24 янв. 2021 г. 18:08:10";"24 янв. 2021 г.";"17:56:57";"24 янв. 2021 г.";"18:08:10";"0:11";"0,19";"";
"Развитие";"Развивающее чтение/видео";"";"24 янв. 2021 г. 18:08:10";"24 янв. 2021 г. 18:28:22";"24 янв. 2021 г.";"18:08:10";"24 янв. 2021 г.";"18:28:22";"0:20";"0,34";"";
"Общение";"Животные";"";"24 янв. 2021 г. 18:28:22";"24 янв. 2021 г. 18:29:42";"24 янв. 2021 г.";"18:28:22";"24 янв. 2021 г.";"18:29:42";"0:01";"0,02";"";
"Здоровье";"Еда";"";"24 янв. 2021 г. 18:29:42";"24 янв. 2021 г. 18:39:54";"24 янв. 2021 г.";"18:29:42";"24 янв. 2021 г.";"18:39:54";"0:10";"0,17";"";
"Прочее";"Сборы";"";"24 янв. 2021 г. 18:39:54";"24 янв. 2021 г. 18:41:25";"24 янв. 2021 г.";"18:39:54";"24 янв. 2021 г.";"18:41:25";"0:01";"0,03";"";
"Развлечения";"Интернет";"";"24 янв. 2021 г. 18:41:25";"24 янв. 2021 г. 18:47:53";"24 янв. 2021 г.";"18:41:25";"24 янв. 2021 г.";"18:47:53";"0:06";"0,11";"";
"Развитие";"Расслабление";"";"24 янв. 2021 г. 18:47:53";"24 янв. 2021 г. 18:49:54";"24 янв. 2021 г.";"18:47:53";"24 янв. 2021 г.";"18:49:54";"0:02";"0,03";"";
"Уход за семьей";"Организация";"";"24 янв. 2021 г. 18:49:54";"24 янв. 2021 г. 19:05:13";"24 янв. 2021 г.";"18:49:54";"24 янв. 2021 г.";"19:05:13";"0:15";"0,26";"";
"Развитие";"Развивающее чтение/видео";"";"24 янв. 2021 г. 19:05:13";"24 янв. 2021 г. 19:52:18";"24 янв. 2021 г.";"19:05:13";"24 янв. 2021 г.";"19:52:18";"0:47";"0,78";"";
"Развитие";"Занятия музыкой";"";"24 янв. 2021 г. 19:52:18";"24 янв. 2021 г. 20:27:22";"24 янв. 2021 г.";"19:52:18";"24 янв. 2021 г.";"20:27:22";"0:35";"0,58";"";
"Общение";"Семья";"";"24 янв. 2021 г. 20:27:22";"24 янв. 2021 г. 20:32:44";"24 янв. 2021 г.";"20:27:22";"24 янв. 2021 г.";"20:32:44";"0:05";"0,09";"";
"Здоровье";"Еда";"";"24 янв. 2021 г. 20:32:44";"24 янв. 2021 г. 20:39:49";"24 янв. 2021 г.";"20:32:44";"24 янв. 2021 г.";"20:39:49";"0:07";"0,12";"";
"Прочее";"Сборы";"";"24 янв. 2021 г. 20:39:49";"24 янв. 2021 г. 20:44:28";"24 янв. 2021 г.";"20:39:49";"24 янв. 2021 г.";"20:44:28";"0:04";"0,08";"";
"Развитие";"Развивающее чтение/видео";"";"24 янв. 2021 г. 20:44:28";"24 янв. 2021 г. 20:58:42";"24 янв. 2021 г.";"20:44:28";"24 янв. 2021 г.";"20:58:42";"0:14";"0,24";"";
"Уход за семьей";"Организация";"";"24 янв. 2021 г. 20:58:42";"24 янв. 2021 г. 21:08:46";"24 янв. 2021 г.";"20:58:42";"24 янв. 2021 г.";"21:08:46";"0:10";"0,17";"";
"Общение";"Животные";"";"24 янв. 2021 г. 21:08:46";"24 янв. 2021 г. 21:20:07";"24 янв. 2021 г.";"21:08:46";"24 янв. 2021 г.";"21:20:07";"0:11";"0,19";"";
"Развлечения";"Интернет";"";"24 янв. 2021 г. 21:20:07";"24 янв. 2021 г. 21:22:05";"24 янв. 2021 г.";"21:20:07";"24 янв. 2021 г.";"21:22:05";"0:01";"0,03";"";
"Продуктивность";"Исследование";"";"24 янв. 2021 г. 21:22:05";"24 янв. 2021 г. 21:27:44";"24 янв. 2021 г.";"21:22:05";"24 янв. 2021 г.";"21:27:44";"0:05";"0,09";"";
"Общение";"Животные";"";"24 янв. 2021 г. 21:27:44";"24 янв. 2021 г. 21:33:28";"24 янв. 2021 г.";"21:27:44";"24 янв. 2021 г.";"21:33:28";"0:05";"0,1";"";
"Развитие";"Развивающее чтение/видео";"";"24 янв. 2021 г. 21:33:28";"24 янв. 2021 г. 22:28:39";"24 янв. 2021 г.";"21:33:28";"24 янв. 2021 г.";"22:28:39";"0:55";"0,92";"";
"Развлечения";"Интернет";"";"24 янв. 2021 г. 22:28:39";"24 янв. 2021 г. 22:32:01";"24 янв. 2021 г.";"22:28:39";"24 янв. 2021 г.";"22:32:01";"0:03";"0,06";"";
"Продуктивность";"Исследование";"";"24 янв. 2021 г. 22:32:01";"24 янв. 2021 г. 22:40:32";"24 янв. 2021 г.";"22:32:01";"24 янв. 2021 г.";"22:40:32";"0:08";"0,14";"";
"Развлечения";"Интернет";"";"24 янв. 2021 г. 22:40:32";"24 янв. 2021 г. 22:42:46";"24 янв. 2021 г.";"22:40:32";"24 янв. 2021 г.";"22:42:46";"0:02";"0,04";"";
"Общение";"Семья";"";"24 янв. 2021 г. 22:42:46";"24 янв. 2021 г. 22:46:57";"24 янв. 2021 г.";"22:42:46";"24 янв. 2021 г.";"22:46:57";"0:04";"0,07";"Мама";
"Здоровье";"Гигиена";"";"24 янв. 2021 г. 22:46:57";"24 янв. 2021 г. 22:56:02";"24 янв. 2021 г.";"22:46:57";"24 янв. 2021 г.";"22:56:02";"0:09";"0,15";"Чистка зубов";
"Прочее";"Сборы";"";"24 янв. 2021 г. 22:56:05";"24 янв. 2021 г. 23:02:09";"24 янв. 2021 г.";"22:56:05";"24 янв. 2021 г.";"23:02:09";"0:06";"0,1";"";
"Развитие";"Дневник";"";"24 янв. 2021 г. 23:02:09";"24 янв. 2021 г. 23:04:41";"24 янв. 2021 г.";"23:02:09";"24 янв. 2021 г.";"23:04:41";"0:02";"0,04";"Дневник";
"Развитие";"Развивающее чтение/видео";"";"24 янв. 2021 г. 23:04:41";"24 янв. 2021 г. 23:21:44";"24 янв. 2021 г.";"23:04:41";"24 янв. 2021 г.";"23:21:44";"0:17";"0,28";"";
"Сон";"";"";"24 янв. 2021 г. 23:21:44";"25 янв. 2021 г. 08:00:48";"24 янв. 2021 г.";"23:21:44";"25 янв. 2021 г.";"08:00:48";"8:39";"8,65";"";
